date,price
2016년01월01일,1407.15
2016년01월02일,1405.98
2016년01월03일,1405.33
2016년01월04일,1403.84
2016년01월05일,1402.25
2016년01월06일,1400.78
2016년01월07일,1399.15
2016년01월08일,1397.36
2016년01월09일,1395.62
2016년01월10일,1394.79
2016년01월11일,1393.53
2016년01월12일,1391.91
2016년01월13일,1390.32
2016년01월14일,1388.78
2016년01월15일,1387.16
2016년01월16일,1384.83
2016년01월17일,1383.82
2016년01월18일,1382.41
2016년01월19일,1379.99
2016년01월20일,1378.33
2016년01월21일,1376.56
2016년01월22일,1374.76
2016년01월23일,1373.35
2016년01월24일,1372.69
2016년01월25일,1371.97
2016년01월26일,1370.04
2016년01월27일,1368.42
2016년01월28일,1366.94
2016년01월29일,1365.79
2016년01월30일,1364.86
2016년01월31일,1364.37
2016년02월01일,1363.04
2016년02월02일,1362.19
2016년02월03일,1361.18
2016년02월04일,1360.25
2016년02월05일,1359.75
2016년02월06일,1359.05
2016년02월07일,1358.65
2016년02월08일,1358.50
2016년02월09일,1358.41
2016년02월10일,1358.06
2016년02월11일,1356.99
2016년02월12일,1355.48
2016년02월13일,1354.01
2016년02월14일,1353.17
2016년02월15일,1352.28
2016년02월16일,1350.34
2016년02월17일,1348.76
2016년02월18일,1347.55
2016년02월19일,1346.59
2016년02월20일,1345.74
2016년02월21일,1345.43
2016년02월22일,1344.98
2016년02월23일,1344.25
2016년02월24일,1343.66
2016년02월25일,1343.08
2016년02월26일,1342.29
2016년02월27일,1341.76
2016년02월28일,1341.40
2016년02월29일,1341.37
2016년03월01일,1340.74
2016년03월02일,1340.27
2016년03월03일,1340.13
2016년03월04일,1339.83
2016년03월05일,1339.72
2016년03월06일,1339.69
2016년03월07일,1339.72
2016년03월08일,1340.13
2016년03월09일,1341.06
2016년03월10일,1341.53
2016년03월11일,1342.60
2016년03월12일,1343.85
2016년03월13일,1344.49
2016년03월14일,1345.83
2016년03월15일,1348.46
2016년03월16일,1350.27
2016년03월17일,1351.52
2016년03월18일,1352.76
2016년03월19일,1354.35
2016년03월20일,1355.09
2016년03월21일,1356.32
2016년03월22일,1357.61
2016년03월23일,1358.65
2016년03월24일,1359.53
2016년03월25일,1360.12
2016년03월26일,1360.72
2016년03월27일,1361.01
2016년03월28일,1361.44
2016년03월29일,1361.96
2016년03월30일,1362.26
2016년03월31일,1362.41
2016년04월01일,1362.75
2016년04월02일,1362.90
2016년04월03일,1362.81
2016년04월04일,1362.84
2016년04월05일,1362.58
2016년04월06일,1362.40
2016년04월07일,1362.24
2016년04월08일,1362.09
2016년04월09일,1361.78
2016년04월10일,1361.75
2016년04월11일,1361.61
2016년04월12일,1361.38
2016년04월13일,1361.19
2016년04월14일,1361.15
2016년04월15일,1361.30
2016년04월16일,1361.59
2016년04월17일,1361.59
2016년04월18일,1361.44
2016년04월19일,1361.56
2016년04월20일,1361.42
2016년04월21일,1361.30
2016년04월22일,1361.23
2016년04월23일,1361.25
2016년04월24일,1361.21
2016년04월25일,1361.16
2016년04월26일,1361.03
2016년04월27일,1360.93
2016년04월28일,1361.33
2016년04월29일,1361.77
2016년04월30일,1362.67
2016년05월01일,1363.29
2016년05월02일,1363.37
2016년05월03일,1367.44
2016년05월04일,1369.30
2016년05월05일,1371.12
2016년05월06일,1372.22
2016년05월07일,1373.11
2016년05월08일,1373.62
2016년05월09일,1374.28
2016년05월10일,1375.30
2016년05월11일,1376.37
2016년05월12일,1378.20
2016년05월13일,1380.08
2016년05월14일,1381.95
2016년05월15일,1382.69
2016년05월16일,1384.07
2016년05월17일,1386.72
2016년05월18일,1389.21
2016년05월19일,1391.74
2016년05월20일,1394.34
2016년05월21일,1396.84
2016년05월22일,1398.06
2016년05월23일,1399.86
2016년05월24일,1404.27
2016년05월25일,1407.38
2016년05월26일,1410.44
2016년05월27일,1413.54
2016년05월28일,1415.85
2016년05월29일,1416.79
2016년05월30일,1418.34
2016년05월31일,1420.46
2016년06월01일,1424.12
2016년06월02일,1425.85
2016년06월03일,1427.54
2016년06월04일,1429.27
2016년06월05일,1430.04
2016년06월06일,1430.79
2016년06월07일,1431.82
2016년06월08일,1433.14
2016년06월09일,1434.56
2016년06월10일,1435.99
2016년06월11일,1437.02
2016년06월12일,1437.52
2016년06월13일,1438.34
2016년06월14일,1439.75
2016년06월15일,1440.58
2016년06월16일,1441.06
2016년06월17일,1441.35
2016년06월18일,1441.47
2016년06월19일,1441.66
2016년06월20일,1441.74
2016년06월21일,1441.91
2016년06월22일,1442.11
2016년06월23일,1442.25
2016년06월24일,1442.36
2016년06월25일,1442.42
2016년06월26일,1442.37
2016년06월27일,1442.56
2016년06월28일,1442.54
2016년06월29일,1442.63
2016년06월30일,1442.66
2016년07월01일,1442.78
2016년07월02일,1442.69
2016년07월03일,1442.70
2016년07월04일,1442.58
2016년07월05일,1442.61
2016년07월06일,1442.32
2016년07월07일,1442.17
2016년07월08일,1441.92
2016년07월09일,1441.65
2016년07월10일,1441.53
2016년07월11일,1441.24
2016년07월12일,1440.68
2016년07월13일,1440.31
2016년07월14일,1439.83
2016년07월15일,1439.19
2016년07월16일,1438.53
2016년07월17일,1438.33
2016년07월18일,1437.68
2016년07월19일,1436.74
2016년07월20일,1435.79
2016년07월21일,1435.11
2016년07월22일,1434.37
2016년07월23일,1433.31
2016년07월24일,1432.93
2016년07월25일,1432.16
2016년07월26일,1431.05
2016년07월27일,1430.01
2016년07월28일,1429.05
2016년07월29일,1428.22
2016년07월30일,1427.40
2016년07월31일,1426.97
2016년08월01일,1425.70
2016년08월02일,1423.66
2016년08월03일,1422.19
2016년08월04일,1420.84
2016년08월05일,1419.47
2016년08월06일,1418.33
2016년08월07일,1417.72
2016년08월08일,1416.63
2016년08월09일,1414.73
2016년08월10일,1413.51
2016년08월11일,1412.32
2016년08월12일,1411.29
2016년08월13일,1410.28
2016년08월14일,1409.94
2016년08월15일,1409.44
2016년08월16일,1408.53
2016년08월17일,1407.67
2016년08월18일,1406.95
2016년08월19일,1406.60
2016년08월20일,1406.56
2016년08월21일,1406.50
2016년08월22일,1406.34
2016년08월23일,1406.87
2016년08월24일,1406.92
2016년08월25일,1406.92
